,Authors
505,Zissis Poulos
506,Andreas G. Veneris
507,Li-Jie Chen
508,Hong-Zu Chou
509,Kai-Hui Chang
510,Sy-Yen Kuo
511,Chi-Lai Huang
512,Qin Li
513,Xiaofan Zhang
514,Jinjun Xiong
515,Wen-Mei Hwu
516,Deming Chen
517,Aidyn Zhakatayev
518,Jongeun Lee
519,Zheng Zhao
520,Derong Liu
521,Meng Li
522,Zhoufeng Ying
523,Lu Zhang
524,Biying Xu
525,Bei Yu
526,Ray T. Chen
527,David Z. Pan
528,Vito Giovanni Castellana
529,Marco Minutoli
530,Antonino Tumeo
531,Marco Lattuada
532,Pietro Fezzardi
533,Fabrizio Ferrandi
534,Davide Giri
535,Paolo Mantovani
536,Luca P. Carloni
537,Hosein Mohammadi Makrani
538,Hossein Sayadi
539,Tinoosh Mohsenin
540,Setareh Rafatirad
541,Avesta Sasan
542,Houman Homayoun
543,Bosheng Liu
544,Xiaoming Chen
545,Ying Wang
546,Yinhe Han
547,Jiajun Li
548,Haobo Xu
549,Xiaowei Li
550,Daniel Peroni
551,Mohsen Imani
552,Tajana Rosing
553,Abraham Addisie
554,Valeria Bertacco
555,Gengjie Chen
556,Chak-Wa Pui
557,Haocheng Li
558,Jingsong Chen
559,Bentian Jiang
560,Evangeline F. Y. Young
561,Necati Uysal
562,Wen-Hao Liu
563,Rickard Ewetz
