,PaperName,Year,sources
60,Solving Least-Squares Fitting in $O(1)$ Using RRAM-based Computing-in-Memory Technique.,2022,IEEE
61,SonicFFT: A system architecture for ultrasonic-based FFT acceleration.,2022,IEEE
62,FirVer: Concolic Testing for Systematic Validation of Firmware Binaries.,2022,IEEE
63,WAL: A Novel Waveform Analysis Language for Advanced Design Understanding and Debugging.,2022,IEEE
64,Accelerate SAT-based ATPG via Preprocessing and New Conflict Management Heuristics.,2022,IEEE
65,A Fast and Accurate Middle End of Line Parasitic Capacitance Extraction for MOSFET and FinFET Technologies Using Machine Learning.,2022,IEEE
66,Lamina: Low Overhead Wear Leveling for NVM with Bounded Tail.,2022,IEEE
67,Heterogeneous Memory Architecture Accommodating Processing-in-Memory on SoC for AIoT Applications.,2022,IEEE
68,Optimal Loop Tiling for Minimizing Write Operations on NVMs with Complete Memory Latency Hiding.,2022,IEEE
69,Boolean Rewriting Strikes Back: Reconvergence-Driven Windowing Meets Resynthesis.,2022,IEEE
70,Delay Optimization of Combinational Logic by AND-OR Path Restructuring.,2022,IEEE
71,A Versatile Mapping Approach for Technology Mapping and Graph Optimization.,2022,IEEE
72,Avatar: Reinforcing Fault Attack Countermeasures in EDA with Fault Transformations.,2022,IEEE
73,Anti-Piracy of Analog and Mixed-Signal Circuits in FD-SOI.,2022,IEEE
74,Toward Optical Probing Resistant Circuits: A Comparison of Logic Styles and Circuit Design Techniques.,2022,IEEE
75,Dynamic CNN Accelerator Supporting Efficient Filter Generator with Kernel Enhancement and Online Channel Pruning.,2022,IEEE
76,Toward Low-Bit Neural Network Training Accelerator by Dynamic Group Accumulation.,2022,IEEE
77,An Energy-Efficient Bit-Split-and-Combination Systolic Accelerator for NAS-Based Multi-Precision Convolution Neural Networks.,2022,IEEE
78,Multi-Precision Deep Neural Network Acceleration on FPGAs.,2022,IEEE
79,Efficient Preparation of Cyclic Quantum States.,2022,IEEE
80,Limiting the Search Space in Optimal Quantum Circuit Mapping.,2022,IEEE
81,Efficient Routing in Coarse-Grained Reconfigurable Arrays Using Multi-Pole NEM Relays.,2022,IEEE
82,Fault Testing and Diagnosis Techniques for Carbon Nanotube-Based FPGAs.,2022,IEEE
83,Fast Thermal Analysis for Chiplet Design based on Graph Convolution Networks.,2022,IEEE
84,Design Close to the Edge for Advanced Technology using Machine Learning and Brain-Inspired Algorithms.,2022,IEEE
85,Reinforcement Learning for Electronic Design Automation: Case Studies and Perspectives: (Invited Paper).,2022,IEEE
86,Differentially Evolving Memory Ensembles: Pareto Optimization based on Computational Intelligence for Embedded Memories on a System Level.,2022,IEEE
87,"Transient Adjoint DAE Sensitivities: a Complete, Rigorous, and Numerically Accurate Formulation.",2022,IEEE
88,Generative-Adversarial-Network-Guided Well-Aware Placement for Analog Circuits.,2022,IEEE
89,TAFA: Design Automation of Analog Mixed-Signal FIR Filters Using Time Approximation Architecture.,2022,IEEE
90,Efficient Computer Vision on Edge Devices with Pipeline-Parallel Hierarchical Neural Networks.,2022,IEEE
91,Efficient On-Device Incremental Learning by Weight Freezing.,2022,IEEE
92,$\text{Edge}^{n}$ AI: Distributed Inference with Local Edge Devices and Minimal Latency.,2022,IEEE
93,"Large Forests and Where to ""Partially"" Fit Them.",2022,IEEE
94,AdaSens: Adaptive Environment Monitoring by Coordinating Intermittently-Powered Sensors.,2022,IEEE
95,Energy Harvesting Aware Multi-Hop Routing Policy in Distributed IoT System Based on Multi-Agent Reinforcement Learning.,2022,IEEE
96,An Accuracy Reconfigurable Vector Accelerator Based on Approximate Logarithmic Multipliers.,2022,IEEE
97,Neural Network Pruning and Fast Training for DRL-based UAV Trajectory Planning.,2022,IEEE
98,High-Correlation 3D Routability Estimation for Congestion-guided Global Routing.,2022,IEEE
99,SPRoute 2.0: A detailed-routability-driven deterministic parallel global router with soft capacity.,2022,IEEE
100,FPGA-Accelerated Maze Routing Kernel for VLSI Designs.,2022,IEEE
101,Reliable Memristive Neural Network Accelerators Based on Early Denoising and Sparsity Induction.,2022,IEEE
102,Boosting ReRAM-based DNN by Row Activation Oversubscription.,2022,IEEE
103,XBM: A Crossbar Column-wise Binary Mask Learning Method for Efficient Multiple Task Adaption.,2022,IEEE
104,CGRA Mapping Using Zero-Suppressed Binary Decision Diagrams.,2022,IEEE
105,Improving the Quality of Hardware Accelerators through automatic Behavioral Input Language Conversion in HLS.,2022,IEEE
106,Hotspot Mitigation through Multi-Row Thermal-aware Re-Placement of Logic Cells based on High-Level Synthesis Scheduling.,2022,IEEE
107,Techniques for CAD Tool Parameter Auto-tuning in Physical Synthesis: A Survey (Invited Paper).,2022,IEEE
108,Application of Deep Learning in Back-End Simulation: Challenges and Opportunities.,2022,IEEE
109,EasyMAC: Design Exploration-Enabled Multiplier-Accumulator Generator Using a Canonical Architectural Representation: (Invited Paper).,2022,IEEE
110,DVFSspy: Using Dynamic Voltage and Frequency Scaling as a Covert Channel for Multiple Procedures.,2022,IEEE
111,FORTIFY: Analytical Pre-Silicon Side-Channel Characterization of Digital Designs.,2022,IEEE
112,Data Leakage through Self-Terminated Write Schemes in Memristive Caches.,2022,IEEE
113,A Voltage Template Attack on the Modular Polynomial Subtraction in Kyber.,2022,IEEE
114,FeMIC: Multi-Operands in-Memory Computing Based on FeFETs.,2022,IEEE
115,Sparsity-Aware Non-Volatile Computing-In-Memory Macro with Analog Switch Array and Low-Resolution Current-Mode ADC.,2022,IEEE
116,STREAM: Towards READ-based In-Memory Computing for Streaming based Data Processing.,2022,IEEE
117,On the Viability of Decision Trees for Learning Models of Systems.,2022,IEEE
118,This is SPATEM! A Spatial-Temporal Optimization Framework for Efficient Inference on ReRAM-based CNN Accelerator.,2022,IEEE
119,HACScale: Hardware-Aware Compound Scaling for Resource-Efficient DNNs.,2022,IEEE
120,Pearl: Towards Optimization of DNN-accelerators Via Closed-Form Analytical Representation.,2022,IEEE
